question;answer;item1;item2;co_occurrence_count;export_timestamp
taste;manis;CHOCOLATE;MANGO;113.054;52:07.4
taste;manis;CHOCOLATE;TEH;89.43;52:07.4
taste;manis;KOPI GULA AREN;MANGO;120.25;52:07.4
taste;manis;KOPI GULA AREN;TEH;139.5845;52:07.4
taste;manis;MANGO;TEH;84.05;52:07.4
mood;menyegarkan;BANANA;CHOCOLATE;11.88;52:07.4
mood;menyegarkan;BANANA;KOPI GULA AREN;14.5;52:07.4
mood;menyegarkan;BANANA;MANGO;16.6285;52:07.4
mood;menyegarkan;BANANA;TEH;10.2;52:07.4
mood;menyegarkan;CHOCOLATE;KOPI GULA AREN;18.2;52:07.4
mood;menyegarkan;CHOCOLATE;MANGO;19.944;52:07.4
mood;menyegarkan;CHOCOLATE;TEH;14.4;52:07.4
mood;menyegarkan;KOPI GULA AREN;MANGO;18.64;52:07.4
mood;menyegarkan;KOPI GULA AREN;TEH;21.345;52:07.4
mood;menyegarkan;MANGO;TEH;13.82;52:07.4
texture;creamy;BANANA;CHOCOLATE;55.925;52:07.4
texture;creamy;BANANA;KOPI GULA AREN;65;52:07.4
texture;creamy;BANANA;MANGO;67.164;52:07.4
texture;creamy;BANANA;TEH;48.26;52:07.4
texture;creamy;CHOCOLATE;KOPI GULA AREN;60.6;52:07.4
texture;creamy;CHOCOLATE;MANGO;65.255;52:07.4
texture;creamy;CHOCOLATE;TEH;48.3;52:07.4
texture;creamy;KOPI GULA AREN;MANGO;65.64;52:07.4
texture;creamy;KOPI GULA AREN;TEH;84.9945;52:07.4
texture;creamy;MANGO;TEH;46.99;52:07.4
caffeine;non-kafein;BANANA;CHOCOLATE;55.2;52:07.4
caffeine;non-kafein;BANANA;KOPI GULA AREN;43.3;52:07.4
caffeine;non-kafein;BANANA;MANGO;69.1085;52:07.4
caffeine;non-kafein;BANANA;TEH;33.86;52:07.4
caffeine;non-kafein;CHOCOLATE;KOPI GULA AREN;43.6;52:07.4
caffeine;non-kafein;CHOCOLATE;MANGO;73.929;52:07.4
caffeine;non-kafein;CHOCOLATE;TEH;33.23;52:07.4
caffeine;non-kafein;KOPI GULA AREN;MANGO;45.16;52:07.4
caffeine;non-kafein;KOPI GULA AREN;TEH;35.23;52:07.4
caffeine;non-kafein;MANGO;TEH;38.13;52:07.4
temperature;bebas;BANANA;CHOCOLATE;35.76;52:07.4
temperature;bebas;BANANA;KOPI GULA AREN;44.3;52:07.4
temperature;bebas;BANANA;MANGO;47.749;52:07.4
temperature;bebas;BANANA;TEH;31.06;52:07.4
temperature;bebas;CHOCOLATE;KOPI GULA AREN;31.4;52:07.4
temperature;bebas;CHOCOLATE;MANGO;47.5245;52:07.4
temperature;bebas;CHOCOLATE;TEH;32.63;52:07.4
temperature;bebas;KOPI GULA AREN;MANGO;43.91;52:07.4
temperature;bebas;KOPI GULA AREN;TEH;60.4445;52:07.4
temperature;bebas;MANGO;TEH;27.73;52:07.4
budget;bebas;BANANA;CHOCOLATE;20.97;52:07.4
budget;bebas;BANANA;KOPI GULA AREN;25.4;52:07.4
budget;bebas;BANANA;MANGO;17.1995;52:07.4
budget;bebas;BANANA;TEH;21.93;52:07.4
budget;bebas;CHOCOLATE;KOPI GULA AREN;18.5;52:07.4
budget;bebas;CHOCOLATE;MANGO;24.6195;52:07.4
budget;bebas;CHOCOLATE;TEH;16.23;52:07.4
budget;bebas;KOPI GULA AREN;MANGO;17.09;52:07.4
budget;bebas;KOPI GULA AREN;TEH;34.725;52:07.4
budget;bebas;MANGO;TEH;10.2;52:07.4
taste;manis;CHOCOLATE;CRUNCHY CREAMY;114.25;52:07.4
taste;manis;CHOCOLATE;STRAWBERRY;118.239;52:07.4
taste;manis;CRUNCHY CREAMY;KOPI GULA AREN;119.36;52:07.4
taste;manis;CRUNCHY CREAMY;MANGO;101.084;52:07.4
taste;manis;CRUNCHY CREAMY;STRAWBERRY;118.224;52:07.4
taste;manis;KOPI GULA AREN;STRAWBERRY;125.42;52:07.4
taste;manis;MANGO;STRAWBERRY;100.8735;52:07.4
mood;manis;CHOCOLATE;CRUNCHY CREAMY;62.82;52:07.4
mood;manis;CHOCOLATE;KOPI GULA AREN;65.4;52:07.4
mood;manis;CHOCOLATE;MANGO;45.04;52:07.4
mood;manis;CHOCOLATE;STRAWBERRY;64.74;52:07.4
mood;manis;CRUNCHY CREAMY;KOPI GULA AREN;67.7;52:07.4
mood;manis;CRUNCHY CREAMY;MANGO;48.335;52:07.4
mood;manis;CRUNCHY CREAMY;STRAWBERRY;59.93;52:07.4
mood;manis;KOPI GULA AREN;MANGO;59.1;52:07.4
mood;manis;KOPI GULA AREN;STRAWBERRY;71.9;52:07.4
mood;manis;MANGO;STRAWBERRY;49.625;52:07.4
texture;creamy;CHOCOLATE;CRUNCHY CREAMY;70.595;52:07.4
texture;creamy;CHOCOLATE;STRAWBERRY;70.6045;52:07.4
texture;creamy;CRUNCHY CREAMY;KOPI GULA AREN;66.9;52:07.4
texture;creamy;CRUNCHY CREAMY;MANGO;53.675;52:07.4
texture;creamy;CRUNCHY CREAMY;STRAWBERRY;74.1345;52:07.4
texture;creamy;KOPI GULA AREN;STRAWBERRY;80.8;52:07.4
texture;creamy;MANGO;STRAWBERRY;63.104;52:07.4
caffeine;rendah;CHOCOLATE;CRUNCHY CREAMY;41.5;52:07.4
caffeine;rendah;CHOCOLATE;KOPI GULA AREN;44;52:07.4
caffeine;rendah;CHOCOLATE;MANGO;36.46;52:07.4
caffeine;rendah;CHOCOLATE;STRAWBERRY;44.86;52:07.4
caffeine;rendah;CRUNCHY CREAMY;KOPI GULA AREN;44.1;52:07.4
caffeine;rendah;CRUNCHY CREAMY;MANGO;29.69;52:07.4
caffeine;rendah;CRUNCHY CREAMY;STRAWBERRY;42.35;52:07.4
caffeine;rendah;KOPI GULA AREN;MANGO;49.67;52:07.4
caffeine;rendah;KOPI GULA AREN;STRAWBERRY;62.43;52:07.4
caffeine;rendah;MANGO;STRAWBERRY;31.26;52:07.4
temperature;bebas;CHOCOLATE;CRUNCHY CREAMY;31.555;52:07.4
temperature;bebas;CHOCOLATE;STRAWBERRY;48.9745;52:07.4
temperature;bebas;CRUNCHY CREAMY;KOPI GULA AREN;38.63;52:07.4
temperature;bebas;CRUNCHY CREAMY;MANGO;34.1395;52:07.4
temperature;bebas;CRUNCHY CREAMY;STRAWBERRY;37.7145;52:07.4
temperature;bebas;KOPI GULA AREN;STRAWBERRY;49.74;52:07.4
temperature;bebas;MANGO;STRAWBERRY;45.4895;52:07.4
budget;mid;CHOCOLATE;CRUNCHY CREAMY;33.865;52:07.4
budget;mid;CHOCOLATE;KOPI GULA AREN;30;52:07.4
budget;mid;CHOCOLATE;MANGO;23.505;52:07.4
budget;mid;CHOCOLATE;STRAWBERRY;41.1395;52:07.4
budget;mid;CRUNCHY CREAMY;KOPI GULA AREN;32.73;52:07.4
budget;mid;CRUNCHY CREAMY;MANGO;30.06;52:07.4
budget;mid;CRUNCHY CREAMY;STRAWBERRY;46.2845;52:07.4
budget;mid;KOPI GULA AREN;MANGO;30.19;52:07.4
budget;mid;KOPI GULA AREN;STRAWBERRY;40.39;52:07.4
budget;mid;MANGO;STRAWBERRY;33.4695;52:07.4
taste;asam;KOPI GULA AREN;KOPI LEMON;6.4;52:07.4
taste;asam;KOPI GULA AREN;LEMON KISS;7.7;52:07.4
taste;asam;KOPI LEMON;LEMON KISS;36.18;52:07.4
mood;menyegarkan;KOPI GULA AREN;KOPI LEMON;9.4;52:07.4
mood;menyegarkan;KOPI GULA AREN;LEMON KISS;9.7;52:07.4
mood;menyegarkan;KOPI LEMON;LEMON KISS;41.61;52:07.4
texture;bubbly;KOPI GULA AREN;KOPI LEMON;10.23;52:07.4
texture;bubbly;KOPI GULA AREN;LEMON KISS;6.9;52:07.4
texture;bubbly;KOPI LEMON;LEMON KISS;17.78;52:07.4
caffeine;rendah;KOPI GULA AREN;KOPI LEMON;9.13;52:07.4
caffeine;rendah;KOPI GULA AREN;LEMON KISS;13.2;52:07.4
caffeine;rendah;KOPI LEMON;LEMON KISS;28.91;52:07.4
temperature;dingin;KOPI GULA AREN;KOPI LEMON;11.3445;52:07.4
temperature;dingin;KOPI GULA AREN;LEMON KISS;11.9;52:07.4
temperature;dingin;KOPI LEMON;LEMON KISS;36.61;52:07.4
budget;high;KOPI GULA AREN;KOPI LEMON;8.895;52:07.4
budget;high;KOPI GULA AREN;LEMON KISS;5.5;52:07.4
budget;high;KOPI LEMON;LEMON KISS;16.56;52:07.4
taste;asam;BISCOFFEE;JAHE MERAH;2;52:07.4
taste;asam;BISCOFFEE;LEMON SQUASH;7.2;52:07.4
taste;asam;BISCOFFEE;LYCHEE SQUASH;9.2;52:07.4
taste;asam;BISCOFFEE;STRAWBERRY;4.4;52:07.4
taste;asam;BISCOFFEE;VARIASI PINK;4;52:07.4
taste;asam;JAHE MERAH;LEMON SQUASH;15.31;52:07.4
taste;asam;JAHE MERAH;LYCHEE SQUASH;15.005;52:07.4
taste;asam;JAHE MERAH;STRAWBERRY;9.795;52:07.4
taste;asam;JAHE MERAH;VARIASI PINK;4.415;52:07.4
taste;asam;LEMON SQUASH;LYCHEE SQUASH;79.444;52:07.4
taste;asam;LEMON SQUASH;STRAWBERRY;36.812;52:07.4
taste;asam;LEMON SQUASH;VARIASI PINK;47.593;52:07.4
taste;asam;LYCHEE SQUASH;STRAWBERRY;34.651;52:07.4
taste;asam;LYCHEE SQUASH;VARIASI PINK;50.05;52:07.4
taste;asam;STRAWBERRY;VARIASI PINK;16.626;52:07.4
mood;menyegarkan;BISCOFFEE;JAHE MERAH;4;52:07.4
mood;menyegarkan;BISCOFFEE;LEMON SQUASH;7.2;52:07.4
mood;menyegarkan;BISCOFFEE;LYCHEE SQUASH;9.2;52:07.4
mood;menyegarkan;BISCOFFEE;STRAWBERRY;25.56;52:07.4
mood;menyegarkan;BISCOFFEE;VARIASI PINK;4;52:07.4
mood;menyegarkan;JAHE MERAH;LEMON SQUASH;16.59;52:07.4
mood;menyegarkan;JAHE MERAH;LYCHEE SQUASH;19.715;52:07.4
mood;menyegarkan;JAHE MERAH;STRAWBERRY;12.225;52:07.4
mood;menyegarkan;JAHE MERAH;VARIASI PINK;7.125;52:07.4
mood;menyegarkan;LEMON SQUASH;LYCHEE SQUASH;76.294;52:07.4
mood;menyegarkan;LEMON SQUASH;STRAWBERRY;34.412;52:07.4
mood;menyegarkan;LEMON SQUASH;VARIASI PINK;43.613;52:07.4
mood;menyegarkan;LYCHEE SQUASH;STRAWBERRY;33.641;52:07.4
mood;menyegarkan;LYCHEE SQUASH;VARIASI PINK;49.7245;52:07.4
mood;menyegarkan;STRAWBERRY;VARIASI PINK;22.486;52:07.4
texture;bubbly;BISCOFFEE;JAHE MERAH;5;52:07.4
texture;bubbly;BISCOFFEE;LEMON SQUASH;2;52:07.4
texture;bubbly;BISCOFFEE;LYCHEE SQUASH;4.1;52:07.4
texture;bubbly;BISCOFFEE;STRAWBERRY;22.83;52:07.4
texture;bubbly;BISCOFFEE;VARIASI PINK;2;52:07.4
texture;bubbly;JAHE MERAH;LEMON SQUASH;9.095;52:07.4
texture;bubbly;JAHE MERAH;LYCHEE SQUASH;9.64;52:07.4
texture;bubbly;JAHE MERAH;STRAWBERRY;9.795;52:07.4
texture;bubbly;JAHE MERAH;VARIASI PINK;5.565;52:07.4
texture;bubbly;LEMON SQUASH;LYCHEE SQUASH;34.539;52:07.4
texture;bubbly;LEMON SQUASH;STRAWBERRY;19.335;52:07.4
texture;bubbly;LEMON SQUASH;VARIASI PINK;24.407;52:07.4
texture;bubbly;LYCHEE SQUASH;STRAWBERRY;14.005;52:07.4
texture;bubbly;LYCHEE SQUASH;VARIASI PINK;23.8885;52:07.4
texture;bubbly;STRAWBERRY;VARIASI PINK;14.343;52:07.4
caffeine;non-kafein;BISCOFFEE;JAHE MERAH;3;52:07.4
caffeine;non-kafein;BISCOFFEE;LEMON SQUASH;4.1;52:07.4
caffeine;non-kafein;BISCOFFEE;LYCHEE SQUASH;3;52:07.4
caffeine;non-kafein;BISCOFFEE;STRAWBERRY;46.06;52:07.4
caffeine;non-kafein;BISCOFFEE;VARIASI PINK;2;52:07.4
caffeine;non-kafein;JAHE MERAH;LEMON SQUASH;14.705;52:07.4
caffeine;non-kafein;JAHE MERAH;LYCHEE SQUASH;17.995;52:07.4
caffeine;non-kafein;JAHE MERAH;STRAWBERRY;12.785;52:07.4
caffeine;non-kafein;JAHE MERAH;VARIASI PINK;6.91;52:07.4
caffeine;non-kafein;LEMON SQUASH;LYCHEE SQUASH;45.899;52:07.4
caffeine;non-kafein;LEMON SQUASH;STRAWBERRY;32.737;52:07.4
caffeine;non-kafein;LEMON SQUASH;VARIASI PINK;39.128;52:07.4
caffeine;non-kafein;LYCHEE SQUASH;STRAWBERRY;28.586;52:07.4
caffeine;non-kafein;LYCHEE SQUASH;VARIASI PINK;35.3445;52:07.4
caffeine;non-kafein;STRAWBERRY;VARIASI PINK;16.626;52:07.4
temperature;dingin;BISCOFFEE;JAHE MERAH;7;52:07.4
temperature;dingin;BISCOFFEE;LEMON SQUASH;5;52:07.4
temperature;dingin;BISCOFFEE;LYCHEE SQUASH;7.1;52:07.4
temperature;dingin;BISCOFFEE;STRAWBERRY;59.03;52:07.4
temperature;dingin;BISCOFFEE;VARIASI PINK;4;52:07.4
temperature;dingin;JAHE MERAH;LEMON SQUASH;26.445;52:07.4
temperature;dingin;JAHE MERAH;LYCHEE SQUASH;21.24;52:07.4
temperature;dingin;JAHE MERAH;STRAWBERRY;24.285;52:07.4
temperature;dingin;JAHE MERAH;VARIASI PINK;15.345;52:07.4
temperature;dingin;LEMON SQUASH;LYCHEE SQUASH;69.697;52:07.4
temperature;dingin;LEMON SQUASH;STRAWBERRY;37.055;52:07.4
temperature;dingin;LEMON SQUASH;VARIASI PINK;47.893;52:07.4
temperature;dingin;LYCHEE SQUASH;STRAWBERRY;36.795;52:07.4
temperature;dingin;LYCHEE SQUASH;VARIASI PINK;49.223;52:07.4
temperature;dingin;STRAWBERRY;VARIASI PINK;18.056;52:07.4
budget;mid;BISCOFFEE;JAHE MERAH;5;52:07.4
budget;mid;BISCOFFEE;LEMON SQUASH;2;52:07.4
budget;mid;BISCOFFEE;LYCHEE SQUASH;1;52:07.4
budget;mid;BISCOFFEE;STRAWBERRY;40.65;52:07.4
budget;mid;BISCOFFEE;VARIASI PINK;1;52:07.4
budget;mid;JAHE MERAH;LEMON SQUASH;8.13;52:07.4
budget;mid;JAHE MERAH;LYCHEE SQUASH;10.615;52:07.4
budget;mid;JAHE MERAH;STRAWBERRY;9.165;52:07.4
budget;mid;JAHE MERAH;VARIASI PINK;8.06;52:07.4
budget;mid;LEMON SQUASH;LYCHEE SQUASH;18.182;52:07.4
