question,answer,co_occurrence,sim_rasa_manis,diff_rasa_manis,diff_sweetness_score,diff_kafein_score,sim_kafein_score,prod_tekstur_HEAVY,diff_tekstur_LIGHT,diff_carbonated_score,sim_tekstur_LIGHT,avg_tekstur_HEAVY,sim_carbonated_score,taste_consistency,prod_sweetness_score,avg_kafein_score,prod_harga,avg_harga,sim_harga,export_timestamp,source_users,source_seed
budget,bebas,1.0,0.6666666666666666,0.33333333333333337,0.30000000000000004,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.6666666666666666,0.33333333333333337,0.30000000000000004,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,32.400000000000006,1.0,0.0,0.10000000000000009,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.11111111111111116,0.8888888888888888,0.6000000000000001,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,22.474999999999998,0.888888888888889,0.11111111111111105,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,25.88,0.888888888888889,0.11111111111111105,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.4444444444444444,0.5555555555555556,0.30000000000000004,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,25.400000000000002,0.7777777777777778,0.2222222222222222,0.10000000000000009,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.2222222222222222,0.7777777777777778,0.8,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.5299999999999994,0.5555555555555556,0.4444444444444444,0.30000000000000004,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.1,0.4444444444444444,0.5555555555555556,0.6000000000000001,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.4444444444444444,0.5555555555555556,0.6000000000000001,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.1,0.4444444444444444,0.5555555555555556,0.6000000000000001,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,14.29,0.888888888888889,0.11111111111111105,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,24.145,0.7777777777777778,0.2222222222222222,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,23.23,0.7777777777777778,0.2222222222222222,0.10000000000000009,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.1,0.6666666666666666,0.33333333333333337,0.30000000000000004,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.4444444444444444,0.5555555555555556,0.6000000000000001,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.4444444444444444,0.5555555555555556,0.6000000000000001,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.5555555555555556,0.4444444444444444,0.6000000000000001,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.6666666666666666,0.33333333333333337,0.19999999999999996,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,4.62,0.44444444444444453,0.5555555555555555,0.3,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.0,0.7777777777777777,0.22222222222222232,0.30000000000000004,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.0,0.7777777777777777,0.22222222222222232,0.30000000000000004,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.33333333333333337,0.6666666666666666,0.5,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,7.694999999999999,0.7777777777777779,0.22222222222222215,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,4.73,0.8888888888888888,0.11111111111111116,0.19999999999999996,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,13.560000000000002,0.5555555555555556,0.4444444444444444,0.5,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.2,0.5555555555555556,0.4444444444444444,0.5,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.5300000000000002,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,15.722,0.888888888888889,0.11111111111111105,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,9.672,0.7777777777777779,0.22222222222222215,0.3,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,8.082,0.7777777777777779,0.22222222222222215,0.3,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,5.38,0.7777777777777779,0.22222222222222215,0.3,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,9.022,0.7777777777777777,0.22222222222222232,0.30000000000000004,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.3,0.6666666666666667,0.3333333333333333,0.3,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,6.050000000000001,0.7777777777777779,0.22222222222222215,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,13.881,0.8888888888888888,0.11111111111111116,0.30000000000000004,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.43,0.8888888888888888,0.11111111111111116,0.19999999999999996,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,4.4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,4.4,0.7777777777777779,0.22222222222222215,0.3,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,9.99,0.7777777777777779,0.22222222222222215,0.3,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,10.13,0.888888888888889,0.11111111111111105,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,10.24,0.7777777777777779,0.22222222222222215,0.3,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,5.260000000000001,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,6.8100000000000005,0.888888888888889,0.11111111111111105,0.3,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,11.201,0.888888888888889,0.11111111111111105,0.3,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,9.622,0.888888888888889,0.11111111111111105,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,8.515,0.11111111111111116,0.8888888888888888,0.49999999999999994,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,30.630000000000006,0.888888888888889,0.11111111111111105,0.10000000000000009,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,28.730000000000004,0.888888888888889,0.11111111111111105,0.10000000000000009,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,6.3,0.0,1.0,0.7,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.0,0.4444444444444444,0.5555555555555556,0.19999999999999996,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,38.4,0.7777777777777778,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,6.1,0.2222222222222222,0.7777777777777778,0.7,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,8.365,0.2222222222222222,0.7777777777777778,0.7,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,5.15,0.6666666666666666,0.33333333333333337,0.19999999999999996,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.1,0.4444444444444444,0.5555555555555556,0.49999999999999994,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.2,0.4444444444444444,0.5555555555555556,0.49999999999999994,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.15,0.4444444444444444,0.5555555555555556,0.49999999999999994,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,20.230000000000004,0.888888888888889,0.11111111111111105,0.10000000000000009,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,8.415,0.33333333333333326,0.6666666666666667,0.49999999999999994,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.1,0.4444444444444444,0.5555555555555556,0.19999999999999996,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,36.95,0.7777777777777778,0.2222222222222222,0.10000000000000009,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,35.22,0.7777777777777778,0.2222222222222222,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.15,0.4444444444444444,0.5555555555555556,0.49999999999999994,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,8.365,0.4444444444444444,0.5555555555555556,0.49999999999999994,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,5.35,0.5555555555555556,0.4444444444444444,0.19999999999999996,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,5.365,0.4444444444444444,0.5555555555555556,0.49999999999999994,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.15,0.6666666666666666,0.33333333333333337,0.19999999999999996,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.0,0.5555555555555556,0.4444444444444444,0.49999999999999994,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.1,0.5555555555555556,0.4444444444444444,0.49999999999999994,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,14.449,0.8888888888888888,0.11111111111111112,0.2,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,10.0,0.6666666666666666,0.33333333333333337,0.3,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,11.078999999999999,0.33333333333333337,0.6666666666666666,0.49999999999999994,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,14.42,0.8888888888888888,0.11111111111111112,0.2,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,16.71,0.8888888888888888,0.11111111111111112,0.2,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,8.9095,0.44444444444444453,0.5555555555555555,0.3,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.54,0.5555555555555556,0.4444444444444445,0.3,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.54,0.6666666666666666,0.33333333333333337,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,5.9399999999999995,0.6666666666666666,0.33333333333333337,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,10.696,0.6666666666666666,0.33333333333333337,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.2222222222222222,0.7777777777777778,0.6000000000000001,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,15.1295,0.7777777777777778,0.2222222222222222,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,9.670000000000002,0.6666666666666666,0.33333333333333337,0.3,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.54,0.33333333333333337,0.6666666666666666,0.6000000000000001,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,10.25,0.33333333333333337,0.6666666666666666,0.49999999999999994,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.921,0.44444444444444453,0.5555555555555555,0.3,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,8.88,0.6666666666666666,0.33333333333333337,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,7.895,0.6666666666666666,0.33333333333333337,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,9.64,0.5555555555555556,0.4444444444444445,0.3,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,5.664999999999999,0.6666666666666666,0.33333333333333337,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.1,0.44444444444444453,0.5555555555555555,0.3,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,4.15,0.5555555555555556,0.4444444444444445,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,6.62,0.5555555555555556,0.4444444444444445,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.54,0.5555555555555556,0.4444444444444445,0.3,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,28.825000000000003,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.15,0.5555555555555556,0.4444444444444445,0.30000000000000004,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,18.500000000000004,0.8888888888888888,0.11111111111111116,0.10000000000000009,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.33333333333333326,0.6666666666666667,0.8,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,2.2649999999999997,0.6666666666666666,0.33333333333333337,0.30000000000000004,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,4.265,0.5555555555555556,0.4444444444444445,0.6000000000000001,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,4.265,0.5555555555555556,0.4444444444444445,0.6000000000000001,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,24.319500000000005,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.5555555555555556,0.4444444444444445,0.30000000000000004,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,24.975,0.8888888888888888,0.11111111111111116,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,16.23,0.8888888888888888,0.11111111111111116,0.10000000000000009,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.7777777777777777,0.22222222222222232,0.30000000000000004,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.1,0.6666666666666666,0.33333333333333337,0.30000000000000004,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,4.2,0.5555555555555556,0.4444444444444445,0.6000000000000001,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.1,0.6666666666666666,0.33333333333333337,0.6000000000000001,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,3.0,0.6666666666666666,0.33333333333333337,0.6000000000000001,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.0,0.6666666666666666,0.33333333333333337,0.30000000000000004,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
budget,bebas,1.15,0.5555555555555556,0.4444444444444445,0.30000000000000004,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,2025-10-06 18:41:52.139980,1500,42
